user;age;gender;residence;religion;maritalstatus;profession;politicalorientation;sexualorientation;numfriends;like1;like2;like3;classvalue;auth;mod
999;66-75;female;Boston;Muslim;Single;Manager;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.026178;5
998;66-75;male;Winthrop;Christian;Single;Natural resources construction and maintenance;Center Right;Heterosexual;MEDIUM;tv show;drink brand;soccer club;NO;0.041885;6
997;66-75;male;Santa Barbara;Hindu;Widowed;Manager;Far Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.031414;3
996;18-25;female;Winthrop;Muslim;Single;Professional;Center;Heterosexual;MEDIUM;entertainment;entertainment;music artist;YES;0.068063;5
995;66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.036649;4
994;18-25;female;Boston;Muslim;Married;Service;Center Right;Asexual;MEDIUM;music artist;music artist;entertainment;YES;0.073298;5
993;36-45;male;Boston;Buddhist;Divorced;Sales and office;Left;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.031414;2
992;18-25;male;Cambridge;Christian;Married;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.115183;8
991;66-75;female;Santa Barbara;Christian;Single;Production transportation and material moving;Left;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.041885;4
990;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.120419;9
989;26-35;male;Winthrop;Muslim;Single;Sales and office;Center;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.083770;0
988;36-45;female;Winthrop;Buddhist;Divorced;Sales and office;Right;Bisexual;MEDIUM;entertainment;entertainment;music artist;NO;0.078534;2
987;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;MEDIUM;entertainment;entertainment;music artist;YES;0.068063;5
986;46-55;female;San Jose;Hindu;Single;Sales and office;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.125654;3
985;36-45;male;Boston;Hindu;Married;Student;Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.115183;2
984;26-35;female;Cambridge;Hindu;Divorced;Service;Left;Bisexual;LOW;entertainment;entertainment;music artist;YES;0.198953;2
983;56-65;male;Santa Barbara;Buddhist;Married;Production transportation and material moving;Left;Asexual;LOW;tv show;drink brand;soccer club;YES;0.057592;9
982;66-75;male;Cambridge;Buddhist;Married;Professional;Left;Bisexual;LOW;tv show;drink brand;soccer club;YES;0.115183;2
981;66-75;female;Santa Barbara;Hindu;Single;Student;Right;Bisexual;LOW;entertainment;entertainment;music artist;NO;0.089005;3
980;46-55;female;Palo Alto;Jewish;Single;Production transportation and material moving;Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.141361;4
979;56-65;male;Boston;Muslim;Single;Sales and office;Center;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.078534;0
978;18-25;male;Boston;Hindu;Divorced;Sales and office;Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.136126;5
977;36-45;male;Winthrop;Muslim;Married;Service;Center;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.083770;0
976;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.136126;5
975;66-75;male;San Jose;Hindu;Married;Manager;Center;Heterosexual;MEDIUM;entertainment;entertainment;music artist;NO;0.052356;1
974;36-45;female;Palo Alto;Buddhist;Single;Manager;Left;Heterosexual;MEDIUM;music artist;music artist;entertainment;YES;0.089005;2
973;26-35;female;Cambridge;Hindu;Married;Manager;Center Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.162304;2
972;18-25;female;Winthrop;Other Religions;Divorced;Professional;Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.136126;5
971;36-45;male;Boston;No religious affiliation;Single;Sales and office;Center;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.089005;0
970;18-25;female;Santa Barbara;Jewish;Single;Production transportation and material moving;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.151832;6
969;26-35;female;San Jose;Hindu;Married;Manager;Left;Homosexual;LOW;music artist;music artist;entertainment;YES;0.136126;2
968;36-45;male;Boston;Muslim;Married;Sales and office;Center;Heterosexual;LOW;music artist;drink brand;entertainment;YES;0.272251;0
967;26-35;female;Winthrop;Buddhist;Single;Service;Right;Homosexual;LOW;music artist;music artist;entertainment;NO;0.068063;2
966;26-35;female;Cambridge;Buddhist;Divorced;Manager;Left;Bisexual;MEDIUM;music artist;music artist;entertainment;YES;0.047120;2
965;18-25;female;Winthrop;Christian;Married;Professional;Left;Heterosexual;LOW;drink brand;drink brand;entertainment;YES;0.099476;2
964;18-25;female;Winthrop;Hindu;Married;Service;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.099476;5
963;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;MEDIUM;entertainment;entertainment;music artist;YES;0.141361;5
962;26-35;female;Winthrop;Buddhist;Single;Manager;Left;Heterosexual;MEDIUM;music artist;music artist;entertainment;YES;0.104712;2
961;18-25;female;Winthrop;Buddhist;Divorced;Manager;Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.151832;2
960;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.094241;9
959;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.078534;3
958;76-85;male;San Jose;Jewish;Divorced;Professional;Far Left;Homosexual;LOW;tv show;drink brand;soccer club;YES;0.078534;1
957;26-35;female;Winthrop;Buddhist;Widowed;Manager;Left;Homosexual;LOW;music artist;music artist;entertainment;YES;0.209424;2
956;56-65;female;San Jose;Muslim;Divorced;Professional;Center Left;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.078534;9
955;56-65;male;Palo Alto;Christian;Married;Production transportation and material moving;Left;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.130890;2
954;26-35;female;Santa Barbara;Christian;Divorced;Manager;Left;Homosexual;LOW;music artist;music artist;entertainment;YES;0.178010;2
953;26-35;female;Cambridge;Buddhist;Married;Manager;Left;Heterosexual;LOW;entertainment;entertainment;entertainment;YES;0.225131;2
952;26-35;female;Cambridge;Buddhist;Single;Manager;Left;Heterosexual;LOW;drink brand;drink brand;entertainment;YES;0.052356;2
951;26-35;male;Cambridge;Buddhist;Married;Manager;Left;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.109948;2
950;26-35;female;San Jose;Buddhist;Divorced;Manager;Center;Bisexual;MEDIUM;drink brand;drink brand;entertainment;NO;0.151832;2
949;36-45;female;San Jose;Buddhist;Married;Service;Right;Homosexual;MEDIUM;drink brand;drink brand;entertainment;NO;0.240838;2
948;18-25;female;Winthrop;Christian;Single;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.068063;5
947;26-35;female;Cambridge;Buddhist;Single;Sales and office;Left;Asexual;LOW;music artist;music artist;entertainment;YES;0.198953;2
946;36-45;female;Winthrop;Buddhist;Divorced;Manager;Left;Heterosexual;LOW;music artist;drink brand;entertainment;YES;0.115183;2
945;26-35;male;Winthrop;Muslim;Single;Manager;Center Right;Heterosexual;MEDIUM;entertainment;entertainment;music artist;YES;0.204188;5
944;18-25;male;Palo Alto;Buddhist;Widowed;Sales and office;Center Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.115183;2
943;26-35;female;Santa Barbara;Buddhist;Single;Sales and office;Center Left;Heterosexual;MEDIUM;entertainment;entertainment;music artist;NO;0.188482;2
942;26-35;male;Cambridge;Buddhist;Divorced;Natural resources construction and maintenance;Right;Asexual;LOW;entertainment;entertainment;music artist;NO;0.172775;2
941;26-35;male;Winthrop;Buddhist;Divorced;Manager;Left;Bisexual;MEDIUM;entertainment;entertainment;music artist;YES;0.225131;2
